branch_segment,snv_count,snv_count_age,opportunity,snv_count_per_gb,snv_count_age_per_gb,patient_id
clone_3,280,12,1.7170974238906453,163.0658785600927,6.988537652575402,SPECTRUM-OV-026
internal_0,2542,156,2.1090999999334104,1205.253425669839,73.96519842820412,SPECTRUM-OV-031
internal_1,436,19,2.1090975657209996,206.72348547846929,9.008592257089258,SPECTRUM-OV-031
clone_1,182,14,1.8049839553337066,100.83192122688521,7.756301632837324,SPECTRUM-OV-031
clone_0,119,4,2.1089129407057783,56.42717520628183,1.8967117716397255,SPECTRUM-OV-031
internal_2,4,0,2.108353223918664,1.8972153027401406,0.0,SPECTRUM-OV-031
clone_2,361,19,1.7185295228032635,210.06331006239404,11.055963687494422,SPECTRUM-OV-031
clone_3,373,19,2.0673806056634545,180.4215435600928,9.190373532551645,SPECTRUM-OV-031
internal_0_pre_wgd,387,30,1.0602999738566734,364.9910492710367,28.293879788452458,SPECTRUM-OV-036
internal_0_post_wgd,1477,80,1.5143199347011906,975.3553170330847,52.82899482914474,SPECTRUM-OV-036
internal_1,1100,40,1.5135676603089157,726.7597140490518,26.427625965420066,SPECTRUM-OV-036
clone_0,90,3,1.4154702146859253,63.583111157142824,2.1194370385714274,SPECTRUM-OV-036
clone_1,89,5,1.386534718753637,64.18880017660325,3.606112369472093,SPECTRUM-OV-036
internal_2,883,21,1.5126209015953274,583.7549904729728,13.8831877688929,SPECTRUM-OV-036
clone_3,89,4,0.7403289073606459,120.21683756385362,5.403003935454095,SPECTRUM-OV-036
clone_2,190,5,1.4935418196166337,127.21438228543859,3.347746902248384,SPECTRUM-OV-036
internal_0,969,86,1.9352147512681315,500.7196226491255,44.439512433255715,SPECTRUM-OV-037
internal_1,53,3,1.9318709269709988,27.43454506202403,1.5528987770956997,SPECTRUM-OV-037
internal_2,38,2,1.9118548058671485,19.875986337134304,1.0461045440597,SPECTRUM-OV-037
clone_2,58,2,0.3529853784865235,164.3127549607961,5.665957067613658,SPECTRUM-OV-037
clone_1,93,7,1.869230311294082,49.75309860860078,3.7448568845183385,SPECTRUM-OV-037
clone_0,137,4,0.6822013410631875,200.82047887283565,5.863371645922209,SPECTRUM-OV-037
clone_3,273,21,1.8967951582009066,143.9269806334481,11.07130620257293,SPECTRUM-OV-037
internal_0_pre_wgd,233,30,1.5552599999999999,149.81417897972045,19.289379267775164,SPECTRUM-OV-044
internal_0_post_wgd,503,76,2.24434,224.11934020692055,33.86296193981305,SPECTRUM-OV-044
