leaf_id,sample_id,n_cells,cluster_size,patient_id
1,SPECTRUM-OV-045_S1_INFRACOLIC_OMENTUM,33,291,SPECTRUM-OV-045
1,SPECTRUM-OV-045_S1_LEFT_OVARY,0,291,SPECTRUM-OV-045
1,SPECTRUM-OV-045_S1_PELVIC_IMPLANT,244,291,SPECTRUM-OV-045
1,SPECTRUM-OV-045_S1_RIGHT_OVARY,34,291,SPECTRUM-OV-045
2,SPECTRUM-OV-045_S1_INFRACOLIC_OMENTUM,4,59,SPECTRUM-OV-045
2,SPECTRUM-OV-045_S1_LEFT_OVARY,0,59,SPECTRUM-OV-045
2,SPECTRUM-OV-045_S1_PELVIC_IMPLANT,59,59,SPECTRUM-OV-045
2,SPECTRUM-OV-045_S1_RIGHT_OVARY,11,59,SPECTRUM-OV-045
3,SPECTRUM-OV-045_S1_INFRACOLIC_OMENTUM,628,955,SPECTRUM-OV-045
3,SPECTRUM-OV-045_S1_LEFT_OVARY,1,955,SPECTRUM-OV-045
3,SPECTRUM-OV-045_S1_PELVIC_IMPLANT,215,955,SPECTRUM-OV-045
3,SPECTRUM-OV-045_S1_RIGHT_OVARY,136,955,SPECTRUM-OV-045
0/3,SPECTRUM-OV-046_S1_INFRACOLIC_OMENTUM,210,258,SPECTRUM-OV-046
0/3,SPECTRUM-OV-046_S1_LEFT_ADNEXA,66,258,SPECTRUM-OV-046
1,SPECTRUM-OV-046_S1_INFRACOLIC_OMENTUM,53,71,SPECTRUM-OV-046
1,SPECTRUM-OV-046_S1_LEFT_ADNEXA,23,71,SPECTRUM-OV-046
2,SPECTRUM-OV-046_S1_INFRACOLIC_OMENTUM,57,163,SPECTRUM-OV-046
2,SPECTRUM-OV-046_S1_LEFT_ADNEXA,121,163,SPECTRUM-OV-046
4,SPECTRUM-OV-046_S1_INFRACOLIC_OMENTUM,104,114,SPECTRUM-OV-046
4,SPECTRUM-OV-046_S1_LEFT_ADNEXA,18,114,SPECTRUM-OV-046
0,SPECTRUM-OV-049_S1_INFRACOLIC_OMENTUM,250,236,SPECTRUM-OV-049
0,SPECTRUM-OV-050_S1_INFRACOLIC_OMENTUM,64,64,SPECTRUM-OV-050
1,SPECTRUM-OV-050_S1_INFRACOLIC_OMENTUM,40,40,SPECTRUM-OV-050
2,SPECTRUM-OV-050_S1_INFRACOLIC_OMENTUM,128,128,SPECTRUM-OV-050
3,SPECTRUM-OV-050_S1_INFRACOLIC_OMENTUM,83,82,SPECTRUM-OV-050
0,SPECTRUM-OV-051_S1_BOWEL,0,59,SPECTRUM-OV-051
0,SPECTRUM-OV-051_S1_INFRACOLIC_OMENTUM,52,59,SPECTRUM-OV-051
0,SPECTRUM-OV-051_S1_RIGHT_ADNEXA,7,59,SPECTRUM-OV-051
0,SPECTRUM-OV-051_S1_RIGHT_OVARY,0,59,SPECTRUM-OV-051
1,SPECTRUM-OV-051_S1_BOWEL,34,497,SPECTRUM-OV-051
1,SPECTRUM-OV-051_S1_INFRACOLIC_OMENTUM,354,497,SPECTRUM-OV-051
1,SPECTRUM-OV-051_S1_RIGHT_ADNEXA,67,497,SPECTRUM-OV-051
1,SPECTRUM-OV-051_S1_RIGHT_OVARY,46,497,SPECTRUM-OV-051
0,SPECTRUM-OV-052_S1_INFRACOLIC_OMENTUM,901,880,SPECTRUM-OV-052
0,SPECTRUM-OV-052_S1_RIGHT_ADNEXA,0,880,SPECTRUM-OV-052
