,patient_id,sample_id,total_sequenced_cells,low_quality_cells,normal_cells,aberrant_normal_cells,sphase_cells,doublets,too_short_135_segment_cells,filter_passing_cells,0xWGD_cells,1xWGD_cells,2xWGD_cells,divergent_cells,0xWGD_divergent_cells,1xWGD_divergent_cells,2xWGD_divergent_cells,highquality_mean_total_mapped_reads,highquality_mean_coverage_depth,highquality_mean_coverage_breadth,highquality_mean_quality,highquality_mean_ploidy,highquality_mean_fraction_loh,highquality_mean_breakpoints,filtered_mean_total_mapped_reads,filtered_mean_coverage_depth,filtered_mean_coverage_breadth,filtered_mean_quality,filtered_mean_ploidy,filtered_mean_fraction_loh,filtered_mean_breakpoints
10,SPECTRUM-OV-008,SPECTRUM-OV-008_S1_BOWEL,840,104,464,110,16,0,0,146,0,146,0,0,,,,5847634.775815218,0.07144657472826087,0.06570259643240364,0.9879456521739131,2.263035358532916,0.1286378685657171,68.84375,8475850.0,0.10965138356164382,0.0983271925774899,0.9492876712328767,3.0714878018102003,0.5694914186742246,206.45205479452054
11,SPECTRUM-OV-009,SPECTRUM-OV-009_S1_BOWEL,1700,1605,13,0,1,0,0,81,80,1,0,0,,,,6338726.536842105,0.13209146315789475,0.12035762474036568,0.9027578947368421,1.889456739335342,0.3565175073606346,52.97894736842105,6285277.12345679,0.131608012345679,0.11969065092846264,0.8978271604938272,1.870090531487891,0.40572935394941867,59.48148148148148
12,SPECTRUM-OV-009,SPECTRUM-OV-009_S1_INFRACOLIC_OMENTUM,1700,265,57,102,67,3,3,1203,1187,16,0,5,1.0,4.0,0.0,4859812.440418119,0.0697818975609756,0.06467851817875761,0.9824013937282231,1.88003300509963,0.39974000492927453,115.39233449477352,4752185.177057357,0.06799042477140482,0.06301238501653167,0.9858387364921031,1.8521051260630848,0.4474295460301319,118.18536990856192
13,SPECTRUM-OV-009,SPECTRUM-OV-009_S1_LEFT_OVARY,860,635,34,6,7,2,2,174,173,0,1,1,0.0,0.0,1.0,4796058.071111111,0.11175921777777777,0.10276787554562937,0.9803911111111111,1.9119792530274067,0.3430626187907741,82.08888888888889,4750031.17816092,0.11048086781609195,0.1014839288499706,0.9833333333333333,1.8101295816603429,0.41409201779138166,86.38505747126437
14,SPECTRUM-OV-009,SPECTRUM-OV-009_S1_RIGHT_OVARY,970,459,0,0,7,2,1,501,496,4,1,7,2.0,4.0,1.0,4895971.156555773,0.11017990802348336,0.10181977514911245,0.9772446183953033,1.8017975275333085,0.4095950123632376,77.2426614481409,4867194.67265469,0.10944964271457086,0.10121179616678583,0.9775928143712574,1.800613781002929,0.4085619791392711,76.14770459081836
15,SPECTRUM-OV-009,SPECTRUM-OV-009_S1_RIGHT_UPPER_ABDOMEN,870,619,98,4,1,0,0,148,141,7,0,0,,,,1339656.764940239,0.029856832669322708,0.028659169779461428,0.9608366533864542,1.9679102192519244,0.24157553788544386,45.82868525896414,1380108.8918918918,0.030691148648648647,0.029405711452837855,0.9678783783783784,1.8992373621281025,0.3947532831027976,68.07432432432432
16,SPECTRUM-OV-014,SPECTRUM-OV-014_S1_PELVIC_PERITONEUM,1520,436,508,196,19,4,1,356,0,355,1,2,0.0,2.0,0.0,5936838.435424354,0.08045054797047971,0.07356856944511547,0.9940553505535056,2.3688202910632103,0.07818080077788586,60.138376383763834,7855752.06741573,0.11094038202247189,0.09953565201371527,0.9896348314606742,2.941229386655072,0.21685535354892377,111.64044943820225
17,SPECTRUM-OV-022,SPECTRUM-OV-022_S1_LEFT_ADNEXA,2544,1773,74,6,36,8,0,647,629,17,1,6,1.0,4.0,1.0,1597894.476005188,0.03853713488975356,0.036544234955146436,0.9713696498054475,1.9414752726330107,0.3231825453970864,56.30350194552529,1573936.2812982998,0.037901503863987634,0.03595709449584966,0.9770880989180836,1.8447944403130236,0.359399707142903,56.557959814528594
18,SPECTRUM-OV-022,SPECTRUM-OV-022_S1_RIGHT_ADNEXA,1120,172,18,22,10,11,4,883,796,75,12,14,2.0,5.0,7.0,2577291.914556962,0.0549434388185654,0.05163129752026776,0.9874367088607595,2.099789828363329,0.31028916680783286,65.47995780590718,2547673.3103057756,0.05424690713476784,0.05098591497708043,0.988144960362401,2.0867641736929,0.3236141212180441,64.57644394110986
19,SPECTRUM-OV-024,SPECTRUM-OV-024_S1_INFRACOLIC_OMENTUM,1320,387,728,101,7,0,0,97,0,6,91,14,0.0,4.0,10.0,5468866.800643086,0.0701412293676313,0.06463081631756147,0.9867181136120042,2.330979197310863,0.05339515081810454,48.91747052518757,9860132.484536082,0.141979793814433,0.1252926909154669,0.9184536082474227,4.435989254395944,0.4349721522740914,193.01030927835052
